100,80,22800,13,126,7

200,157,48000,16,252,7

300,296,22900,22,391,7

400,304,33700,22,516,7

500,472,57200,23,620,7

600,508,201900,27,752,7

700,530,30900,33,882,7

800,782,36100,29,993,7

900,726,51900,36,1143,7

1000,774,50700,45,1309,7

1100,970,51500,35,1384,7

1200,1038,95800,39,1499,7

1300,1264,59900,39,1623,7

1400,1393,74000,43,1753,7

1500,1413,61500,48,1897,7

1600,1333,75700,50,2108,7

1700,1300,78400,44,2190,7

1800,1383,78000,53,2330,7

1900,1874,119200,49,2410,7

2000,1518,94900,47,2547,7

2100,2012,87100,43,2605,7

2200,1717,100800,59,2890,7

2300,2282,86100,52,2865,7

2400,1993,87100,53,3037,7

2500,2156,102300,58,3170,7

2600,1952,118800,50,3306,7

2700,2284,118600,64,3435,7

2800,2298,123800,54,3568,7

2900,2818,99100,70,3697,7

3000,2386,101200,56,3800,7

3100,3004,103500,69,3896,7

3200,3043,104900,64,3986,7

3300,2974,112800,68,4210,7

3400,2564,196400,54,4302,7

3500,2944,133900,69,4523,7

3600,2944,129000,65,4615,7

3700,3063,129300,58,4617,7

3800,3621,138100,68,4779,7

3900,3178,141200,72,5068,7

4000,3327,211000,70,5109,7

4100,3187,211000,67,5266,7

4200,3550,245900,71,5398,7

4300,3532,213900,63,5375,7

4400,4064,223900,69,5522,7

4500,4216,362100,50,5541,7

4600,4357,350200,76,5847,7

4700,3849,264600,83,6033,7

4800,4578,279900,73,6030,7

4900,4425,325900,78,6190,7

5000,4570,279400,57,6127,7

5100,4465,365500,84,6543,7

5200,4069,364800,81,6635,7

5300,4981,343400,84,6737,7

5400,4343,260900,89,6974,7

5500,4799,344600,80,7015,7

5600,4861,372200,83,7154,7

5700,5151,347300,82,7268,7

5800,5707,394900,83,7320,7

5900,5626,309200,73,7333,7

6000,5959,279500,73,7416,7

6100,4596,340100,92,8091,7

6200,4786,301900,71,7931,7

6300,4907,411600,89,8042,7

6400,5443,409700,81,8133,7

6500,6412,392500,85,8181,7

6600,5440,363100,88,8391,7

6700,5892,424400,85,8505,7

6800,6276,370900,94,8674,7

6900,6501,288400,92,8708,7

7000,6027,353600,94,8820,7

7100,6617,308200,87,8978,7

7200,6736,346000,91,9172,7

7300,6870,431300,92,9206,7

7400,7045,353900,98,9389,7

7500,6409,417900,95,9521,7

7600,6382,353300,94,9755,7

7700,7035,283300,85,9752,7

7800,7116,555400,91,9871,7

7900,7875,373100,94,9921,7

8000,6745,303600,95,10215,7

8100,6430,343100,96,10421,7

8200,7646,339200,77,10059,7

8300,7164,368400,97,10631,7

8400,7588,276400,98,10623,7

8500,8413,363700,101,10678,7

8600,7501,357400,89,10828,7

8700,6823,413700,97,11212,7

8800,7699,429800,93,11156,7

8900,8435,355200,108,11236,7

9000,8489,381000,102,11364,7

9100,8690,369900,101,11492,7

9200,8049,301100,86,11618,7

9300,8984,332500,101,11648,7

9400,7296,313200,108,12182,7

9500,7848,317600,113,12151,7

9600,8807,350800,115,12165,7

9700,9279,409000,103,12262,7

9800,8631,370600,115,12560,7

9900,9328,389100,125,12649,7

10000,9657,307700,104,12563,7

