1000,490,1500,10,1
2000,839,700,11,1
3000,1326,600,11,1
4000,1980,600,12,1
5000,2433,700,13,1
6000,2926,700,12,1
7000,2994,600,13,1
8000,3546,300,13,1
9000,4061,300,13,1
10000,4635,300,13,1
11000,4546,300,14,1
12000,5593,100,14,1
13000,6483,200,14,1
14000,5899,100,13,1
15000,6182,100,12,1
16000,6754,200,13,1
17000,8468,200,14,1
18000,8301,100,13,1
19000,8676,200,15,1
20000,9536,200,13,1
21000,8502,200,14,1
22000,10759,200,13,1
23000,10229,200,14,1
24000,11501,100,14,1
25000,10680,200,15,1
26000,12224,200,14,1
27000,12275,200,13,1
28000,12349,200,14,1
29000,12718,200,15,1
30000,13673,200,14,1
31000,13177,200,13,1
32000,13008,200,14,1
33000,13799,200,12,1
34000,15725,100,14,1
35000,16500,200,14,1
36000,17248,100,14,1
37000,17746,200,15,1
38000,17354,200,16,1
39000,18928,100,15,1
40000,17810,200,16,1
41000,17285,200,12,1
42000,19785,200,14,1
43000,18844,200,14,1
44000,18041,200,16,1
45000,18397,200,14,1
46000,21034,100,14,1
47000,22856,300,15,1
48000,20901,200,16,1
49000,22946,100,14,1
50000,22552,200,16,1
51000,22818,200,15,1
52000,23204,300,16,1
53000,24330,300,13,1
54000,21796,300,13,1
55000,27350,300,12,1
56000,24837,300,15,1
57000,25639,300,16,1
58000,23583,400,15,1
59000,23938,300,11,1
60000,26491,200,15,1
61000,25199,200,14,1
62000,25609,200,10,1
63000,25832,300,15,1
64000,26730,200,16,1
65000,27337,100,16,1
66000,28567,200,12,1
67000,33263,300,15,1
68000,30004,300,16,1
69000,34330,200,11,1
70000,31829,200,15,1
71000,31007,200,17,1
72000,30297,200,16,1
73000,34423,200,15,1
74000,31290,200,16,1
75000,30050,200,16,1
76000,36906,300,16,1
77000,32608,200,17,1
78000,36720,300,16,1
79000,34904,300,15,1
80000,39310,300,16,1
81000,34451,200,14,1
82000,40196,300,17,1
83000,35459,400,11,1
84000,34901,300,16,1
85000,36008,200,14,1
86000,41937,300,17,1
87000,39843,300,16,1
88000,42406,200,15,1
89000,35832,200,17,1
90000,41085,200,16,1
91000,36585,200,15,1
92000,39657,200,17,1
93000,40529,300,16,1
94000,43934,200,13,1
95000,41407,300,16,1
96000,40805,200,17,1
97000,39806,200,12,1
98000,44521,200,15,1
99000,46145,200,16,1
100000,45310,200,17,1
