100,81,0.0021,210,130,97

200,169,0.002,394,340,97

300,276,0.0042,670,406,97

400,343,0.004901,1306,601,97

500,399,0.0045,795,519,97

600,479,0.0109,3093,2170,97

700,678,0.011701,2026,787,97

800,706,0.0126,2350,863,97

900,793,0.0167,2877,1009,97

1000,973,0.042501,2990,1029,97

1100,941,0.0086,2679,1322,97

1200,1078,0.011699,3228,1341,97

1300,1231,0.008799,3500,1250,97

1400,1050,0.0265,4232,1832,97

1500,1497,0.027501,3964,1505,97

1600,1494,0.0271,2819,1572,97

1700,1314,0.0228,7564,3343,97

1800,1362,0.018201,6002,3772,97

1900,1772,0.0189,3637,1981,97

2000,1784,0.029501,6699,2678,97

2100,2067,0.009799,2870,2141,97

2200,1811,0.044401,5573,3108,97

2300,2089,0.0289,6108,3450,97

2400,2115,0.042,4855,2674,97

2500,1995,0.0533,5894,2658,97

2600,2023,0.032499,8986,2853,97

2700,2410,0.0275,8667,2796,97

2800,2207,0.0307,10536,7283,97

2900,2390,0.0194,5863,5167,97

3000,2445,0.0333,13714,5019,97

3100,2964,0.0344,10191,5973,97

3200,2766,0.0395,10302,4811,97

3300,3116,0.025701,6619,4077,97

3400,2879,0.046099,9486,3784,97

3500,2705,0.0466,10589,5723,97

3600,3581,0.0217,6891,3619,97

3700,3173,0.0258,6018,3610,97

3800,3457,0.0229,9363,4515,97

3900,3024,0.0353,7278,4285,97

4000,3974,0.0419,7825,4027,97

4100,3672,0.0553,17941,5779,97

4200,3585,0.038699,8715,5267,97

4300,3306,0.038,8045,5201,97

4400,4022,0.0338,7245,4147,97

4500,3399,0.066301,16898,7328,97

4600,4351,0.016999,5834,4964,97

4700,4064,0.046,11194,4905,97

4800,3769,0.0253,7164,4337,97

4900,4058,0.0844,16972,6077,97

5000,4744,0.050899,11110,7475,97

5100,4401,0.050499,14679,10874,97

5200,4340,0.0451,9993,4422,97

5300,4469,0.0467,14195,6020,97

5400,4701,0.0433,15345,5603,97

5500,4164,0.072001,9773,5709,97

5600,5218,0.1046,14735,6400,97

5700,4694,0.1154,17077,10806,97

5800,4430,0.065401,14852,5418,97

5900,4807,0.0639,16307,7381,97

6000,5290,0.028,9099,6110,97

6100,5441,0.0494,11808,6380,97

6200,5258,0.0615,21605,9236,97

6300,6161,0.073899,19000,10186,97

6400,5568,0.1072,47280,24821,97

6500,6484,0.0516,23781,6506,97

6600,5921,0.0526,17441,8397,97

6700,5737,0.1355,29827,11369,97

6800,5179,0.0691,21784,11899,97

6900,6335,0.080099,11335,6898,97

7000,6927,0.046601,13202,7024,97

7100,6228,0.0843,19456,10205,97

7200,6306,0.1005,19319,10390,97

7300,6810,0.058701,17443,7331,97

7400,6527,0.028799,9430,7601,97

7500,7022,0.073599,16657,9053,97

7600,5768,0.0849,24176,7660,97

7700,6444,0.0971,24037,13153,97

7800,7222,0.0784,23126,16196,97

7900,7372,0.050501,13710,8949,97

8000,7172,0.1037,24419,12988,97

8100,6192,0.1041,39585,29609,97

8200,7019,0.157701,30338,16873,97

8300,7105,0.0867,16207,8135,97

8400,8056,0.0344,12304,8726,97

8500,6916,0.0735,26677,22488,97

8600,8095,0.0754,19786,13186,97

8700,7568,0.110799,37199,8710,97

8800,7406,0.0698,19580,12931,97

8900,6738,0.1217,29791,18330,97

9000,8097,0.1103,19668,9886,97

9100,8121,0.1094,27119,18772,97

9200,8399,0.0532,25751,10144,97

9300,8415,0.0569,15475,10586,97

9400,8312,0.058599,17742,9850,97

9500,8865,0.086699,20600,9373,97

9600,7707,0.0983,25638,10038,97

9700,9420,0.053,15603,9935,97

9800,7487,0.065601,28323,10929,97

9900,9900,0.101601,14939,9900,97

10000,9660,0.0569,16959,10579,97

