1000,767,1900,10,1
2000,1640,700,11,1
3000,2457,600,11,1
4000,3309,700,11,1
5000,4038,500,11,1
6000,4949,400,10,1
7000,5333,400,11,1
8000,6158,300,11,1
9000,7296,300,13,1
10000,7539,200,13,1
11000,8559,300,10,1
12000,9730,100,14,1
13000,9948,100,12,1
14000,11311,100,14,1
15000,12307,100,14,1
16000,12557,100,12,1
17000,13644,100,9,1
18000,14508,200,15,1
19000,14364,100,12,1
20000,15303,200,13,1
21000,16540,100,13,1
22000,17009,100,14,1
23000,18623,100,12,1
24000,19124,100,6,1
25000,18946,100,15,1
26000,21401,200,15,1
27000,20694,200,14,1
28000,21420,100,14,1
29000,22453,200,15,1
30000,22951,200,15,1
31000,25216,100,10,1
32000,26292,200,15,1
33000,26628,100,15,1
34000,25928,200,15,1
35000,28257,200,14,1
36000,27782,200,15,1
37000,28116,200,14,1
38000,29284,200,15,1
39000,31486,200,15,1
40000,31898,100,13,1
41000,32861,200,15,1
42000,32910,200,14,1
43000,33561,200,15,1
44000,35092,200,16,1
45000,36564,200,15,1
46000,38116,200,14,1
47000,36752,200,16,1
48000,36588,200,15,1
49000,40496,300,15,1
50000,39065,200,15,1
51000,41140,200,15,1
52000,39094,200,15,1
53000,43251,200,14,1
54000,43758,300,16,1
55000,45270,200,15,1
56000,43406,200,12,1
57000,47076,300,15,1
58000,47630,200,16,1
59000,47884,300,16,1
60000,45633,200,16,1
61000,46527,300,15,1
62000,51496,200,14,1
63000,48869,200,16,1
64000,50603,200,16,1
65000,52134,200,15,1
66000,50547,400,16,1
67000,50734,200,14,1
68000,51123,200,16,1
69000,52752,200,15,1
70000,58109,100,15,1
71000,55537,300,16,1
72000,56001,300,17,1
73000,58042,300,16,1
74000,59379,300,15,1
75000,60751,200,17,1
76000,58084,300,16,1
77000,63467,300,14,1
78000,61453,200,14,1
79000,64835,400,17,1
80000,63291,200,15,1
81000,62259,400,17,1
82000,68011,300,16,1
83000,68207,300,15,1
84000,64778,300,16,1
85000,70154,200,17,1
86000,66335,200,13,1
87000,68230,200,17,1
88000,69279,300,14,1
89000,69099,300,17,1
90000,74441,300,17,1
91000,75589,300,17,1
92000,74653,300,14,1
93000,72681,300,17,1
94000,73682,300,14,1
95000,76956,200,16,1
96000,77765,200,16,1
97000,76123,200,16,1
98000,73912,300,17,1
99000,78325,200,17,1
100000,80256,300,16,1
